Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
11970,5,5,HOW,SHY,-28.808548194189466,125.94460022522915,7.8789108317137835
11971,5,5,HOW,SHY,-29.435779459346957,126.12444397956048,7.948146720246741
11972,5,5,JOB,NAY,3.3688640906421026,74.91787733087338,59.33426609103444
11973,5,5,JOB,NAY,2.891933587284205,75.30276668174676,59.09984355206889
11974,5,5,JOB,NAY,2.4150030839263077,75.68765603262014,58.86542101310334
11975,5,5,JOB,NAY,1.9380725805684103,76.07254538349352,58.63099847413778
11976,5,5,JOB,NAY,1.4611420772105128,76.4574347343669,58.39657593517223
11977,5,5,JOB,NAY,0.9842115738526155,76.84232408524028,58.162153396206676
11978,5,5,JOB,NAY,0.5072810704947182,77.22721343611366,57.92773085724112
11979,5,5,JOB,NAY,0.030350567136820827,77.61210278698704,57.69330831827557
11980,5,5,JOB,NAY,-0.4465799362210765,77.99699213786042,57.458885779310016
11981,5,5,JOB,NAY,-0.9235104395789738,78.3818814887338,57.22446324034446
11982,5,5,JOB,NAY,-1.4004409429368712,78.76677083960718,56.99004070137891
11983,5,5,JOB,NAY,-1.8773714462947684,79.15166019048056,56.755618162413356
