Pixel_i,Module,Node1,Node2,X,Y,Z
34,11,AIR,COW,460.0978316595134,-50.406667929922946,109.8778837723583
35,11,AIR,COW,459.87495203185205,-50.91967633962656,109.53480435389825
36,11,AIR,COW,459.6520724041907,-51.43268474933018,109.1917249354382
37,11,AIR,COW,459.4291927765293,-51.945693159033794,108.84864551697815
38,11,AIR,COW,459.20631314886793,-52.45870156873741,108.5055660985181
39,11,AIR,COW,458.98343352120656,-52.97170997844103,108.16248668005805
40,11,AIR,COW,458.7605538935452,-53.48471838814464,107.819407261598
41,11,AIR,COW,458.5376742658838,-53.99772679784826,107.47632784313795
42,11,AIR,COW,458.31479463822245,-54.510735207551875,107.1332484246779
43,11,AIR,COW,458.0919150105611,-55.02374361725549,106.79016900621785
44,11,AIR,COW,457.8690353828997,-55.53675202695911,106.4470895877578
45,11,AIR,COW,457.64615575523834,-56.04976043666272,106.10401016929775
46,11,AIR,COW,457.42327612757697,-56.56276884636634,105.7609307508377
47,11,AIR,COW,457.2003964999156,-57.075777256069955,105.41785133237765
48,11,AIR,GIG,467.0858963066727,-32.73695815024378,121.71842607094548
49,11,AIR,GIG,466.49605361334534,-32.50953430048756,121.89426814189096
